issn,journal,impact_factor,jcr_quartile,cas_partition
2649-664X,20 Et 21-Revue D Histoire,<0.1,Q4,4区
,20 Et 21-Revue D Histoire,<0.1,Q4,4区
2053-1583,2D Materials,4.3,Q2,3区
,2D Materials,4.3,Q2,3区
2190-572X,3 Biotech,2.9,Q2,4区
,3 Biotech,2.9,Q2,4区
2254-3376,3C Empresa,0.3,Q4,4区
,3C Empresa,0.3,Q4,4区
2254-4143,3c Tecnologia,0.2,Q4,4区
,3c Tecnologia,0.2,Q4,4区
2254-6529,3C Tic,0.1,Q4,4区
,3C Tic,0.1,Q4,4区
2329-7662,3D Printing and Additive Manufacturing,2.1,Q3,4区
,3D Printing and Additive Manufacturing,2.1,Q3,4区
2365-6271,3D Printing in Medicine,,,3区
,3D Printing in Medicine,3.1,Q2,3区
0128-5157,3L-Language Linguistics Literature-The Southeast Asian Journal of English Language Studies,,,3区
,3L-Language Linguistics Literature-The Southeast Asian Journal of English Language Studies,,,3区
2013-3294,452 F-Revista de Teoria de la Literatura y Literatura Comparada,,,4区
,452 F-Revista de Teoria de la Literatura y Literatura Comparada,0.1,,4区
1619-4500,4OR-A Quarterly Journal of Operations Research,2.6,Q2,4区
,4OR-A Quarterly Journal of Operations Research,2.6,Q2,4区
2575-3126,A & A Practice,0.6,Q4,4区
,A & A Practice,0.6,Q4,4区
0389-9160,A + U-ARCHITECTURE AND URBANISM,,,4区
,A + U-ARCHITECTURE AND URBANISM,,,4区
1516-3210,A&C-Revista de Direito Administrativo & Constitucional,0.5,Q3,4区
,A&C-Revista de Direito Administrativo & Constitucional,0.5,Q3,4区
0171-5410,AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,0.3,,4区
,AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,0.3,,4区
1559-7768,AACN Advanced Critical Care,1.5,Q3,4区
,AACN Advanced Critical Care,1.5,Q3,4区
0149-1423,AAPG BULLETIN,2.5,Q2,3区
,AAPG BULLETIN,2.5,Q2,3区
1550-7416,AAPS Journal,3.7,Q2,3区
,AAPS Journal,3.7,Q2,3区
1530-9932,AAPS PHARMSCITECH,4,Q1,4区
,AAPS PHARMSCITECH,4,Q1,4区
2472-3444,AATCC Journal of Research,1.2,Q3,4区
,AATCC Journal of Research,1.2,Q3,4区
1532-8813,AATCC REVIEW,,,4区
,AATCC REVIEW,,,4区
2166-4072,Ab Imperio-Studies of New Imperial History and Nationalism in the Post-Soviet Space,,,3区
,Ab Imperio-Studies of New Imperial History and Nationalism in the Post-Soviet Space,,,3区
0001-3072,Abacus-A Journal of Accounting Finance and Business Studies,2.3,Q2,4区
,Abacus-A Journal of Accounting Finance and Business Studies,2.3,Q2,4区
2316-9451,Abakos,<0.1,Q4,4区
,Abakos,<0.1,Q4,4区
2007-4204,Abanico Veterinario,0.3,Q4,4区
,Abanico Veterinario,0.3,Q4,4区
0102-6720,ABCD-Arquivos Brasileiros de Cirurgia Digestiva-Brazilian Archives of Digestive Surgery,1.8,Q3,4区
,ABCD-Arquivos Brasileiros de Cirurgia Digestiva-Brazilian Archives of Digestive Surgery,1.8,Q3,4区
2366-004X,Abdominal Radiology,2.2,Q2,3区
,Abdominal Radiology,2.2,Q2,3区
2275-6639,ABE Journal,0.3,,4区
,ABE Journal,0.3,,4区
0025-5858,ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,0.3,Q4,4区
,ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,0.3,Q4,4区
2096-6326,aBIOTECH,5,Q1,2区
,aBIOTECH,5,Q1,2区
0314-8769,Aboriginal History,0.1,Q3,3区
,Aboriginal History,0.1,Q3,3区
2014-8526,Abriu-Estudos de Textualidade do Brasil Galicia e Portugal,0.1,,4区
,Abriu-Estudos de Textualidade do Brasil Galicia e Portugal,0.1,,4区
2011-0731,Academia y Virtualidad,0.1,Q4,4区
,Academia y Virtualidad,0.1,Q4,4区
1012-8255,Academia-Revista Latinoamericana de Administracion,1.4,Q3,4区
,Academia-Revista Latinoamericana de Administracion,1.4,Q3,4区
1069-6563,ACADEMIC EMERGENCY MEDICINE,3.2,Q1,3区
,ACADEMIC EMERGENCY MEDICINE,3.2,Q1,3区
2299-7164,Academic Journal of Modern Philology,<0.1,,4区
,Academic Journal of Modern Philology,<0.1,,4区
1040-2446,ACADEMIC MEDICINE,5.2,Q1,1区
,ACADEMIC MEDICINE,5.2,Q1,1区
2374-2895,Academic Pathology,1.3,Q3,4区
,Academic Pathology,1.3,Q3,4区
1876-2859,Academic Pediatrics,2.8,Q1,3区
,Academic Pediatrics,2.8,Q1,3区
1042-9670,ACADEMIC PSYCHIATRY,2.8,Q1,4区
,ACADEMIC PSYCHIATRY,2.8,Q1,4区
1076-6332,ACADEMIC RADIOLOGY,3.9,Q1,2区
,ACADEMIC RADIOLOGY,3.9,Q1,2区
1941-6520,Academy of Management Annals,16.5,Q1,1区
,Academy of Management Annals,16.5,Q1,1区
2168-1007,Academy of Management Discoveries,,,2区
,Academy of Management Discoveries,4.8,Q1,2区
0001-4273,ACADEMY OF MANAGEMENT JOURNAL,10.5,Q1,1区
,ACADEMY OF MANAGEMENT JOURNAL,10.5,Q1,1区
1537-260X,Academy of Management Learning & Education,5.2,Q1,2区
,Academy of Management Learning & Education,5.2,Q1,2区
1558-9080,Academy of Management Perspectives,5.7,Q1,2区
,Academy of Management Perspectives,5.7,Q1,2区
0363-7425,ACADEMY OF MANAGEMENT REVIEW,13.9,Q1,1区
,ACADEMY OF MANAGEMENT REVIEW,13.9,Q1,1区
2074-5354,Academy Review,0.2,Q4,4区
,Academy Review,0.2,Q4,4区
0044-5851,ACADIENSIS,0.2,Q2,4区
,ACADIENSIS,0.2,Q2,4区
0044-586X,ACAROLOGIA,1.1,Q3,3区
,ACAROLOGIA,1.1,Q3,3区
2663-0575,Access to Justice in Eastern Europe,0.5,Q3,4区
,Access to Justice in Eastern Europe,0.5,Q3,4区
2683-1007,ACCESS-Access to science business innovation in the digital economy,,,4区
,ACCESS-Access to science business innovation in the digital economy,0.6,Q4,4区
0001-4575,ACCIDENT ANALYSIS AND PREVENTION,6.2,Q1,1区
,ACCIDENT ANALYSIS AND PREVENTION,6.2,Q1,1区
1578-908X,Accion Psicologica,0.6,Q4,4区
,Accion Psicologica,0.6,Q4,4区
1132-192X,Acciones e Investigaciones Sociales,0.3,Q3,4区
,Acciones e Investigaciones Sociales,0.3,Q3,4区
0898-9621,Accountability in Research-Ethics Integrity and Policy,4,Q1,2区
,Accountability in Research-Ethics Integrity and Policy,4,Q1,2区
0001-4788,ACCOUNTING AND BUSINESS RESEARCH,1.4,Q3,4区
,ACCOUNTING AND BUSINESS RESEARCH,1.4,Q3,4区
0810-5391,Accounting and Finance,2.6,Q2,4区
,Accounting and Finance,2.6,Q2,4区
0951-3574,Accounting Auditing & Accountability Journal,3.4,Q1,2区
,Accounting Auditing & Accountability Journal,3.4,Q1,2区
2194-6051,Accounting Economics and Law-A Convivium,,,4区
,Accounting Economics and Law-A Convivium,,,4区
0963-9284,Accounting Education,2.3,Q2,3区
,Accounting Education,2.3,Q2,3区
0155-9982,Accounting Forum,3.4,Q1,3区
,Accounting Forum,3.4,Q1,3区
0148-4184,Accounting Historians Journal,1,Q3,4区
,Accounting Historians Journal,1,Q3,4区
2155-2851,Accounting History Review,1.3,Q3,4区
,Accounting History Review,1.3,Q3,4区
1032-3732,Accounting History,0.9,Q3,4区
,Accounting History,0.9,Q3,4区
0888-7993,Accounting Horizons,2.2,Q2,3区
,Accounting Horizons,2.2,Q2,3区
1744-9480,Accounting in Europe,4.3,Q1,3区
,Accounting in Europe,4.3,Q1,3区
0361-3682,ACCOUNTING ORGANIZATIONS AND SOCIETY,4,Q1,2区
,ACCOUNTING ORGANIZATIONS AND SOCIETY,4,Q1,2区
1911-382X,Accounting Perspectives,,,4区
,Accounting Perspectives,,,4区
1030-9616,Accounting Research Journal,2.1,Q2,4区
,Accounting Research Journal,2.1,Q2,4区
0001-4826,ACCOUNTING REVIEW,4.4,Q1,2区
,ACCOUNTING REVIEW,4.4,Q1,2区
0001-4842,ACCOUNTS OF CHEMICAL RESEARCH,17.7,Q1,1区
,ACCOUNTS OF CHEMICAL RESEARCH,17.7,Q1,1区
2643-6728,Accounts of Materials Research,,,1区
,Accounts of Materials Research,14.7,Q1,1区
0949-1775,ACCREDITATION AND QUALITY ASSURANCE,1,Q4,4区
,ACCREDITATION AND QUALITY ASSURANCE,1,Q4,4区
1886-4805,ACE-Architecture City and Environment,,,4区
,ACE-Architecture City and Environment,,,4区
2326-3253,ACG Case Reports Journal,,,4区
,ACG Case Reports Journal,0.5,Q4,4区
0889-325X,ACI MATERIALS JOURNAL,1.6,Q3,4区
,ACI MATERIALS JOURNAL,1.6,Q3,4区
0889-3241,ACI STRUCTURAL JOURNAL,1.5,Q3,4区
,ACI STRUCTURAL JOURNAL,1.5,Q3,4区
1932-2232,ACM Communications in Computer Algebra,0.5,Q4,4区
,ACM Communications in Computer Algebra,0.5,Q4,4区
0360-0300,ACM COMPUTING SURVEYS,28,Q1,1区
,ACM COMPUTING SURVEYS,28,Q1,1区
1936-1955,ACM Journal of Data and Information Quality,2.9,Q2,4区
,ACM Journal of Data and Information Quality,2.9,Q2,4区
1556-4673,ACM Journal on Computing and Cultural Heritage,2.2,Q3,3区
,ACM Journal on Computing and Cultural Heritage,2.2,Q3,3区
1550-4832,ACM Journal on Emerging Technologies in Computing Systems,2.6,Q2,4区
,ACM Journal on Emerging Technologies in Computing Systems,2.6,Q2,4区
0146-4833,ACM SIGCOMM Computer Communication Review,2.8,Q2,4区
,ACM SIGCOMM Computer Communication Review,2.8,Q2,4区
1551-9031,ACM SIGecom Exchanges,0.4,Q4,4区
,ACM SIGecom Exchanges,0.4,Q4,4区
1936-7228,ACM Transactions on Accessible Computing,3.5,Q2,2区
,ACM Transactions on Accessible Computing,3.5,Q2,2区
1549-6325,ACM Transactions on Algorithms,1.4,Q2,3区
,ACM Transactions on Algorithms,1.4,Q2,3区
1544-3558,ACM Transactions on Applied Perception,2.1,Q3,3区
,ACM Transactions on Applied Perception,2.1,Q3,3区
1544-3566,ACM Transactions on Architecture and Code Optimization,1.8,Q2,3区
,ACM Transactions on Architecture and Code Optimization,1.8,Q2,3区
2375-4699,ACM Transactions on Asian and Low-Resource Language Information Processing,2,Q3,4区
,ACM Transactions on Asian and Low-Resource Language Information Processing,2,Q3,4区
1556-4665,ACM Transactions on Autonomous and Adaptive Systems,2.1,Q2,4区
,ACM Transactions on Autonomous and Adaptive Systems,2.1,Q2,4区
1942-3454,ACM Transactions on Computation Theory,,,4区
,ACM Transactions on Computation Theory,,,4区
1529-3785,ACM Transactions on Computational Logic,0.9,Q1,4区
,ACM Transactions on Computational Logic,0.9,Q1,4区
0734-2071,ACM TRANSACTIONS ON COMPUTER SYSTEMS,1.8,Q2,4区
,ACM TRANSACTIONS ON COMPUTER SYSTEMS,1.8,Q2,4区
1073-0516,ACM Transactions on Computer-Human Interaction,6.6,Q1,1区
,ACM Transactions on Computer-Human Interaction,6.6,Q1,1区
1946-6226,ACM Transactions on Computing Education,3.8,Q1,3区
,ACM Transactions on Computing Education,3.8,Q1,3区
2378-962X,ACM Transactions on Cyber-Physical Systems,2.9,Q3,4区
,ACM Transactions on Cyber-Physical Systems,2.9,Q3,4区
0362-5915,ACM TRANSACTIONS ON DATABASE SYSTEMS,1.7,Q3,2区
,ACM TRANSACTIONS ON DATABASE SYSTEMS,1.7,Q3,2区
1084-4309,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,2,Q3,4区
,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,2,Q3,4区
2167-8375,ACM Transactions on Economics and Computation,,,4区
,ACM Transactions on Economics and Computation,,,4区
1539-9087,ACM Transactions on Embedded Computing Systems,2.6,Q2,3区
,ACM Transactions on Embedded Computing Systems,2.6,Q2,3区
0730-0301,ACM TRANSACTIONS ON GRAPHICS,9.5,Q1,1区
,ACM TRANSACTIONS ON GRAPHICS,9.5,Q1,1区
2573-9522,ACM Transactions on Human-Robot Interaction,,,2区
,ACM Transactions on Human-Robot Interaction,5.5,Q1,2区
1046-8188,ACM TRANSACTIONS ON INFORMATION SYSTEMS,9.1,Q1,2区
,ACM TRANSACTIONS ON INFORMATION SYSTEMS,9.1,Q1,2区
2157-6904,ACM Transactions on Intelligent Systems and Technology,6.6,Q1,3区
,ACM Transactions on Intelligent Systems and Technology,6.6,Q1,3区
2160-6455,ACM Transactions on Interactive Intelligent Systems,4.8,Q2,4区
,ACM Transactions on Interactive Intelligent Systems,4.8,Q2,4区
2691-1914,ACM Transactions on Internet of Things,3.7,Q2,3区
,ACM Transactions on Internet of Things,3.7,Q2,3区
1533-5399,ACM Transactions on Internet Technology,4.1,Q1,3区
,ACM Transactions on Internet Technology,4.1,Q1,3区
